evolucion,id_proyecto,origen,presentado_por,tipo,titulo
:PEDIDO_INFORME_ENVIO,142702,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,ANEP. INMUEBLES Y VEHICULOS PROPIEDAD ORGANISMO. DESTINO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,142624,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,ASSE. JUICIOS. INDEMNIZACIONES. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,142616,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,CONTADURIA GENERAL NACION. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,142613,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,DIRECCION NACIONAL ADUANA. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.MEF. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,142614,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,DGI. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,138648,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,INTENDENCIA MUNICIPAL ARTIGAS. FUNCIONARIOS. INGRESO. INFORMES
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,138663,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,LOCALES BAILABLES CANELONES (DPTO). HABILITACION BOMBEROS. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,136044,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,HOSPITAL PEREIRA ROSELL. MEDICOS POLICLINICA REPRODUCCION. SITUACION CONTRACTUAL. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,134305,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,"AGUA POTABLE SAN BAUTISTA, SANTA ROSA Y SAN JACINTO (CANELONES). ABASTECIMIENTO. INFORMES."
:PEDIDO_INFORME_ENVIO,129363,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,PUENTE RUTA 65 KM 83. CONSTRUCCION. REANUDACION. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,127904,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,AGENCIA NACIONAL DE VIVIENDAS. SOLUCIONES HABITACIONALES. CONSTRUCCION. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,124795,CRR,"Peña Fernández, Daniel",PEDIDO DE INFORMES,ANTEL. COMPUTADORAS LENOVO. ADQUISICION. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA,133817,CSS,"Otheguy Vega, Marcos Javier",PEDIDO DE INFORMES,IRAE. EVASIÓN PAGO. ESTIMACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA,133358,CSS,"Otheguy Vega, Marcos Javier",PEDIDO DE INFORMES,"COMISIÓN NACIONAL HONORARIA DE ZOONOSIS Y COTRYBA. PRESUPUESTOS, RECAUDACIONES Y PROGRAMAS. INFORMES."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,127021,CSS,"Pesce Olivera, Viviana",PROYECTO DE LEY,ADULTOS MAYORES. MALTRATO. CODIGO PENAL. MODIFICACION.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,132042,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. INCENDIO. PERITAJE. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,132041,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,RAMBLA PORUTARIA. VIVIENDAS PRECARIAS. FAMILIAS. SOLUCIÓN HABITACIONAL. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,132044,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. INCENDIO. CENSO FAMILIAS AFECTADAS. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,132045,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. ENERGÍA ELÉCTRICA. SUMINISTRO. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,129797,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,RESIDENCIAS ADULTOS MAYORES. HABILITACIÓN BOMBEROS. PROCEDIMIENTO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,129727,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,PLAN CEIBAL. SEGUIMIENTO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,127471,CSS,"Pesce Olivera, Viviana",PEDIDO DE INFORMES,ESTABLECIMIENTOS ADULTOS MAYORES. CONTROL. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,125693,CSS,"Pintado, Enrique",PEDIDO DE INFORMES,MINISTRO DE TRANSPORTE Y OBRAS PÚBLICAS. ARTÍCULO PERIODÍSTICO. INFORMACIÓN. DECLARACIONES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,135575,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,ANEP. PADRONES RURALES. TRANSFERENCIAS. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,133865,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,BARRA DEL CHUY (ROCHA). ARENA. EXTRACCIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,130002,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,FOCEM. PROYECTOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,125928,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,CASINOS ESTADO. FUNCIONARIOS EN COMISIÓN. MÁQUINAS TRAGAMONEDAS. INFORMES.
,125870,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,"VITIVINICULTURA NACIONAL, SITUACIÓN, INFORMACIÓN, SOLICITUD."
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,125872,CSS,"Saravia, Jorge",PEDIDO DE INFORMES,INSTITUTO NACIONAL VITIVINICULTURA. SITUACIÓN Y FUNCIONAMIENTO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,123482,CRR,"Posada, Iván; Radío, Daniel",PEDIDO DE INFORMES,ACCIDENTADOS ARTIGAS (ARTIGAS) 15 FEBRERO 2015. TRASLADO A MONTEVIDEO. PROCEDIMIENTO. INFORMES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA,143090,CRR,"Olano Llano, José Quintín; Posada, Iván; Toledo Antúnez, Hermes",PROYECTO DE LEY,EUSTAQUIO SOSA - LA CHARQUEADA. PUERTO LOCALIDAD ENRIQUE MARTINEZ (TREINTA Y TRES). DENOMINACION.
:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_APRUEBA:PASE_ARCHIVO,139766,CRR,"Abdala, Pablo; Pasquet Iribarne, Ope; Penadés, Gustavo; Pérez, Carlos Hugo; Posada, Iván; Sánchez, Alejandro",RESOLUCION,ARMENIA. CENTENARIO FUNDACION. CONMEMORACION.
:CAMARA_ENTRADA:CAMARA_APRUEBA,139097,CRR,"Abdala, Pablo; Pasquet Iribarne, Ope; Posada, Iván; Rubio, Eduardo; Varela Nestier, Carlos",RESOLUCION,COMISION ESTUDIO PROYECTO LEY PARTIDOS POLITICOS (ESPECIAL).
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:PASE_ARCHIVO,137556,CRR,"Posada, Iván",PROYECTO DE LEY,FONDO SOLIDARIDAD. MODIFICACION
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,134354,CRR,"De los Santos, Oscar; Gallo Cantera, Luis Enrique; Mahía, José Carlos; Malán, Enzo; Mier, Sergio; Núñez, Gerardo; Posada, Iván; Pozzi, Jorge; Sosa Acosta, Heriberto; Viel, Stella",PROYECTO DE LEY,DERECHOS DE AUTOR. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_POSTERGA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_MODIFICA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_INFORMA:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,133779,CRR,"Posada, Iván; Radío, Daniel; Sosa Acosta, Heriberto",LEY,PENSION ALIMENTICIA. DECLARACION JURADA BIENES E INGRESOS PERSONAS OBLIGADAS. OBLIGATORIEDAD
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_MODIFICA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_POSTERGA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,133023,CRR,"Posada, Iván; Radío, Daniel",LEY,ESPECTACULOS PUBLICOS. DERECHO ADMISION Y PERMANENCIA. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,133028,CRR,"Posada, Iván; Radío, Daniel; Sosa Acosta, Heriberto",PROYECTO DE LEY,MAMOGRAFIA. CONSENTIMIENTO PREVIO. OBLIGATORIEDAD.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,132688,CRR,"Posada, Iván; Radío, Daniel; Sosa Acosta, Heriberto",PROYECTO DE LEY,INVERSIONES. EXONERACION IMPUESTOS. BENEFICIARIO. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,131668,CRR,"Barrone, Pablo; Carrasco Briozzo, Andrés; Fratti, Luis Alfredo; Meroni, Jorge; Posada, Iván; Radío, Daniel; Ríos, Silvio; Rubio, Eduardo; Viera Duarte, Tabaré",PROYECTO DE RESOLUCION,COLOMBIA - FARC. ACUERDO PAZ. BENEPLACITO.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO:PASE_ARCHIVO,131556,CRR,"Posada, Iván; Radío, Daniel; Sosa Acosta, Heriberto",LEY,"TERRA, Juan Pablo. DIRECCION NACIONAL VIVIENDA. EDIFICIO SEDE. DENOMINACION."
:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,130118,CRR,"Asti, Alfredo; Bianchi, Graciela; Pasquet Iribarne, Ope; Posada, Iván; Varela Nestier, Carlos",LEY,INCLUSION FINANCIERA. SUSPENSION VIGENCIA. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:PASE_ARCHIVO,130018,CRR,"Andújar, Sebastián; Bianchi, Graciela; Mier Estades, Egardo Dionisio; Posada, Iván; Radío, Daniel; Rubio, Eduardo",MINUTA DE COMUNICACION,HAITI. LECHE EN POLVO. ENVIO. SOLICITUD
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,129569,CRR,"Bianchi, Graciela; Mahía, José Carlos; Pasquet Iribarne, Ope; Posada, Iván; Rubio, Eduardo",LEY,DIA DE LA LAICIDAD -19 MARZO. DECLARACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,127677,CRR,"Abdala, Pablo; Bottino, Cecilia; Olivera, Nicolás; Pasquet Iribarne, Ope; Posada, Iván; Umpiérrez, Alejo",PROYECTO DE LEY,DIVORCIO CONVENCIONAL ADMINISTRATIVO. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_ENTRADA:COMISION_POSTERGA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,125902,CRR,"Abdala, Pablo; Pasquet Iribarne, Ope; Posada, Iván; Sánchez, Alejandro",PROYECTO DE LEY,PUBLICIDAD OFICIAL. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,125361,CRR,"Posada, Iván; Radío, Daniel; Sosa Acosta, Heriberto",PROYECTO DE LEY,ADMINISTRACION SERVICIOS SALUD ESTADO (ASSE). INTEGRACION Y ADMINISTRACION. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_APRUEBA,135675,CSS,"Sendic, Raúl",RESOLUCION,CAMARA SENADORES. RENDICION CUENTAS Y BALANCE EJECUCION PRESUPUESTAL (EJERCICIO 2016). APROBACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_APRUEBA,135650,Comisión Administrativa,"Sendic, Raúl",RESOLUCION,COMISION ADMINISTRATIVA PODER LEGISLATIVO. RENDICION CUENTAS Y BALANCE EJECUCION PRESUPUESTAL (EJERCICIO 2016). APROBACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_URGENCIA:CAMARA_APRUEBA,130535,CSS,"Sendic, Raúl",RESOLUCION,CÁMARA SENADORES. RENDICIÓN DE CUENTAS (EJERCICIO 2015).  APROBACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_URGENCIA:CAMARA_APRUEBA,130218,Comisión Administrativa,"Sendic, Raúl",RESOLUCION,COMISIÓN ADMINISTRATIVA. RENDICIÓN CUENTAS Y BALANCE EJECUCIÓN PRESUPUESTAL - EJERCICIO 2015 . APROBACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_APRUEBA:CAMARA_APRUEBA,127893,CSS,"Sendic, Raúl",RESOLUCION,PRESUPUESTO CAMARA SENADORES (EJERCICIO 2015-2020). APROBACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_INFORMA:CAMARA_APRUEBA,125677,Comisión Administrativa,"Sendic, Raúl",RESOLUCION,COMISION ADMINISTRATIVA PODER LEGISLATIVO. RENDICION CUENTAS Y BALANCE EJECUCION PRESUPUESTAL (EJERCICIO 2014). APROBACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_INFORMA:CAMARA_APRUEBA,125584,CSS,"Sendic, Raúl",RESOLUCION,RENDICIÓN CUENTAS Y BALANCE EJECUCIÓN PRESUPUESTAL CÁMARA SENADORES (EJERCICIO 2014). APROBACION.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,134430,CSS,"Topolansky, Lucía",PEDIDO DE INFORMES,ELECCIONES NACIONALES 2014. PROCLAMACIÓN. CONSULTAS. INFORMES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_APRUEBA,140419,CSS,"Topolansky, Lucía",RESOLUCION,CAMARA SENADORES. RENDICION CUENTAS Y BALANCE EJECUCION PRESUPUESTAL (EJERCICIO 2017). APROBACION.
:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_APRUEBA:PASE_ARCHIVO,137855,CRR,"Chiazzaro, Roberto; Meroni, Jorge; Ríos, Silvio; Viera Duarte, Tabaré",RESOLUCION,HONDURAS. ELECCIONES. COMPUTO SUFRAGIOS. TRANSPARENCIA. ASPIRACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,136872,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,POLICIA. SERVICIO 222. REGIMEN. MODIFICACION
:CAMARA_ENTRADA:PASE_COMISION,137847,CRR,"Chiazzaro, Roberto; Meroni, Jorge; Ríos, Silvio; Viera Duarte, Tabaré",PROYECTO DE DECLARACION,HONDURAS. SITUACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,132439,CRR,"Viera Duarte, Tabaré",PROYECTO DE MINUTA DE COMUNICACION,TRABAJADOR EMPRESA GREENFROZEN Y FRUTOS DEL NORTE. SEGURO DESEMPLEO. PLAZO. PRORROGA.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:PASE_ARCHIVO,130615,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,RIVERA (DPTO). ANIVERSARIO FUNDACION (132). FERIADO NO LABORABLE. DECLARACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,129419,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,DELITOS INFORMATICOS. PREVENCION Y SANCION. REGIMEN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,129414,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,VIOLENCIA DOMESTICA CONTRA ANCIANOS Y DISCAPACITADOS. DENUNCIA. OBLIGATORIEDAD.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,129425,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,MILITAR. RETIRO. REQUISITOS. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,129430,CRR,"Rodríguez, Conrado; Viera Duarte, Tabaré",PROYECTO DE LEY,FENOMENOS CLIMATICOS ABRIL 2016. DAMNIFICADOS. BENEFICIOS. INSTRUMENTACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,129426,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,ORGANISMOS ESTADO. INGRESO. EDAD. TOPE. PROHIBICION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:PASE_ARCHIVO,123952,CRR,"Viera Duarte, Tabaré",PROYECTO DE LEY,SUPREMA CORTE JUSTICIA. FONDOS PAGO SENTENCIAS CONTRA EL ESTADO. ADMINISTRACION. REGIMEN.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,141824,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,CUENTAS PYMES BROU. ADHESION SISTEMAS PAGOS. EMPRESA GEOCOM - POS. INFORMES.
:PEDIDO_INFORME_ENVIO,140105,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,CANASTA RIESGO NUTRICIONAL. RESTRICCION ENTREGA NIÑOS. NACIDOS FUERA PEREYRA ROSSELL. INFORMES.
:PEDIDO_INFORME_ENVIO,140002,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,VERTEDERO GALLINAL Y CERRO CHATO (PAYSANDU). DESBORDE. ACTIVIDADES CONTAMINANTES. INFORMES.
:PEDIDO_INFORME_ENVIO,138847,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,MINAS (LAVALLEJA). DELITOS REGISTRADOS PERIODO 2014-2018. MEDIDAS ADOPTADAS. INFORMES.
:PEDIDO_INFORME_ENVIO,138776,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,ASOCIACION CIVIL EGEDA URUGUAY. COBRO CANON DERECHOS AUDIOVISULAES. NORMATIVA. INFORMES.
:PEDIDO_INFORME_ENVIO,138677,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,GUARDIA SEGURIDAD HERIDO RAPIÑA SUPERMERCADO MONTEVIDEO (DPTO). SITUACION LABORAL. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,136260,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,OMBUES DE LAVALLE (COLONIA). VIVIENDAS MEVIR. CONSTRUCCION. DEMORA. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA,133029,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,AGROINDUSTRIAS CALVINOR Y GREENFROZEN. VINCULOS ESTADO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,130607,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,RUTA NACIONAL 8. BANQUINAS. REPARACION. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,131230,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,VIOLENCIA DOMESTICA. MUERTES. CANTIDADES. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,129069,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,DELITOS REGISTRADOS PASO DE LA ARENA (MONTEVIDEO) ULTIMO AÑO. INFORMES.
:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PASE_ARCHIVO,127138,CRR,"Viera Duarte, Tabaré",PEDIDO DE INFORMES,LEY ORGANICA POLICIAL. ORGANIZACION POLICIA. INFORMES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,142034,CRR,"Abdala, Pablo",PROYECTO DE LEY,NACIMIENTOS. INSCRIPCIÓN REGISTRO ESTADO CIVIL. EXPEDICIÓN CERTIFICADO.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO,140121,CRR,"Abdala, Pablo",PROYECTO DE LEY,PETROLEO Y DERIVADOS. IMPORTACION Y REFINACION. MONOPOLIO ESTADO. DEROGACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,137789,CRR,"Abdala, Pablo",PROYECTO DE LEY,DESFIBRILADOR EXTERNO AUTOMATICO (DEA) Y RESCATISTAS ESCENARIOS DEPORTIVOS. REGIMEN. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA,135127,CRR,"Abdala, Pablo",PROYECTO DE LEY,IMAGENES RELIGIOSAS ESPACIOS PUBLICOS. EMPLAZAMIENTO. AUTORIZACION.
:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_APRUEBA:PASE_ARCHIVO,134170,CRR,"Abdala, Pablo; Arocena Argul, José Andrés; Goñi Reyes, Rodrigo; Penadés, Gustavo; Rodríguez Servetto, Nelson; Trobo, Jaime Mario",RESOLUCION,ATENTADO LONDRES (INGLATERRA) - 22 MARZO 2017. REPUDIO.
